,name,studio,theme,tags,source,rating,year,synopsis,demographic,status,eps,eps_avg_duration_in_min,rated_by
670,Tide-Line Blue,Telecom Animation Film,Military,"Action, Adventure, Drama",Original,6.62,2005.0,"The catastrophe, ""Hammer of Eden,"" resulted in the loss of six billion lives and the flooding of 90% of the land. The New United Nations were formed to pursue peace on the ruined lands 14 years later. Keel is a boy living in a town called Yabitsu, an area which prospered due to the energy from the nuclear generator brought by the catastrophe. His next kin, Aoi, is the secretary general of the New United Nations. She views the catastrophe as an opportunity to create a new world in which nations can help one another overcome differences in races and religions. However, her efforts to realise that vision fail because of the unwillingness of the nations to change. Gould, a military officer, feels that the only way to make an order is through the military. Using Ulysses, a nuclear submarine, along with his crew, including Keel's brother Tean, Gould carries out a coup to declare war against the New United Nations in his attack on Yabitsu.

(Source: ANN)





StudioTelecom Animation Film

SourceOriginal

ThemeMilitary
DemographicShounen",Shounen,Finished,12.0,23.0,6.9K
671,Kinnikuman II Sei: Ultimate Muscle,Toei Animation,"Combat Sports, Martial Arts","Action, Comedy, Sci-Fi, Sports",Manga,6.93,2004.0,"The Chojin Crown, the tournament which Mantaro (Kid Muscle) reluctantly participates in. After going along with the obstacles (most of which were created to try and eliminate him), he qualified.

(Source: Wikipedia)





StudioToei Animation

SourceManga

ThemesCombat SportsMartial Arts
DemographicShounen",Shounen,Finished,13.0,24.0,6.8K
672,Cardfight!! Vanguard G: Z,OLM,Strategy Game,Action,Card game,6.5,2017.0,"Fourth season of Cardfight!! Vanguard G series.





StudioOLM

SourceCard game

ThemeStrategy Game
DemographicShounen",Shounen,Finished,24.0,24.0,6.8K
673,Gakuen Senki Muryou,Madhouse,"Mecha, Space","Adventure, Sci-Fi, Supernatural",Original,7.0,2001.0,"The world is about to be turned upside down for Hajime Murata. First, a strange alien ship appears over Tokyo, and then a mysterious new transfer student arrives at his school wearing an ancient school uniform. His name is Muryou, and with his arrival, everything begins to change. Students suddenly begin to display amazing psychic powers, a giant white guardian keeps appearing in the skies over the city to fight off gigantic alien creatures, and men with threatening weapons are haunting the shadows of the school grounds.

With all these strange events taking place around him, Hajime is determined to figure out the truth about a world he thought he already knew. This is his story: a tale of aliens and humans, starships and spies, and friends who are often more than they appear. Join Hajime as he uncovers the mystery of Shingu: Secret of the Stellar Wars!

(Source: RightStuf)





StudioMadhouse

SourceOriginal

ThemesMechaSpace
DemographicShounen",Shounen,Finished,26.0,25.0,6.6K
674,Future GPX Cyber Formula,Sunrise,Racing,"Adventure, Sci-Fi",Original,7.36,1991.0,"14-year-old Kazami Hayato is the youngest driver of Cyber Formula, a Grand Prix in which each vehicle is equipped with computers to aid in racing. With the help of Asurada, the most advanced cybernavigation system, and team Sugo, Hayato races to become the winner of the 10th Cyber Formula Grand Prix. Along the way, Hayato will have to learn what it truly means to be a racer and that victory cannot be achieved simply by driving the best machine. In addition, Kazami will have to gain the respect of the veteran racers, thwart those who attempt to steal Asurada, and participate in races outside of Cyber Formula.

(Source: ANN)





StudioSunrise

SourceOriginal

ThemeRacing
DemographicShounen",Shounen,Finished,37.0,24.0,6.6K
675,Rumiko Takahashi Anthology,Unknown,Shounen,"Comedy, Drama, Romance, Slice, of, Life, Supernatural",Manga,7.14,2003.0,"Rumic World TV (2003) consists of thirteen independent series based on short stories from 1987-2000 by Takahashi Rumiko. The episode order is not sorted based on the year the story was written. For example, the first episode ""Tragedy of P""'s story was written in 1991 while the last episode ""Senmuno inu""'s story was written in 1994.

(Source: AnimeNfo)





StudioUnknown

SourceManga

DemographicShounen",Shounen,Finished,13.0,25.0,6.5K
676,Maze☆Bakunetsu Jikuu (TV),J.C.Staff,"Magical Sex Shift, Mecha","Adventure, Comedy, Fantasy",Manga,6.62,1997.0,"Maze wakes up in her house, everything is a wreck and she has amnesia. Before she can gather what has happened the girl Mill storms into her house thanking her for having saved her life. She tells Maze that her house suddenly fell down from the sky and crushed Mills pursuers under it. However before long they are both on the run from further pursuers who want their hands on princess Mill. They are only saved when Maze discovers that she has phantom light magical powers and can summon Mills family heirloom mecha. However her performance with the mecha is weak; that is until the sun goes down and she is turned in to a lecherous man. Soon other travellers join them as Maze tries to protect Mill and figure out what she is doing in this fantasy world. 

(Source: ANN)





StudioJ.C.Staff

SourceManga

ThemesMagical Sex ShiftMecha
DemographicShounen",Shounen,Finished,25.0,24.0,6.1K
677,Kinnikuman II Sei: Ultimate Muscle 2,Toei Animation,"Combat Sports, Martial Arts","Action, Comedy, Sci-Fi, Sports",Manga,6.97,2006.0,"Mantaro has made it to the semifinal match of the Chojin Cup. He must now fight Ricardo in a soccer field to advance to the last match. Kevin Mask is also in the semifinals, and must defeat Ilioukhine in an aerial field to advance. These three matches will determine who wins the Chojin Cup.

(Source: ANN)





StudioToei Animation

SourceManga

ThemesCombat SportsMartial Arts
DemographicShounen",Shounen,Finished,13.0,24.0,6.0K
678,Miami Guns,Group TAC,Detective,"Comedy, Ecchi",Manga,6.46,2000.0,"Spoiled rich girl Yao Sakurakouji decides to join the Miami police force to enjoy car chases, gunfights and wanton destruction. The psychotic and not-too-bright Yao is partnered with Lu Amano, the soft-spoken and sharp-tongued daughter of the police chief. Together the dirty duo clean up the streets of Miami and take on a mysterious crime syndicate known only as 'The Organization'. 

(Source: ANN)





StudioGroup TAC

SourceManga

ThemeDetective
DemographicShounen",Shounen,Finished,13.0,24.0,5.9K
679,Taiho Shichau zo Special,Studio Deen,"Detective, Workplace","Action, Comedy",Manga,7.06,1999.0,"Best friends and partners Miyuki Kobayakawa and Natsumi Sujimoto, along with the rest of the gang at Bokuto station, confront a motley group of offenders ranging from hi-tech panty thieves, purse-snatchers, and traffic violators. Using Miyuki's driving prowess and tech knowledge, as well as Natsumi's spunk and strength, the duo at times must resort to unconventional methods to see that justice is served.

(Source: ANN)





StudioStudio Deen

SourceManga

ThemesDetectiveWorkplace
DemographicShounen",Shounen,Finished,20.0,8.0,5.9K
680,Gekitou! Crush Gear Turbo,Sunrise,Shounen,Sports,,6.83,2001.0,"After losing almost all their members the Tobita Crush Gear club is facing extinction. Kouya who dreams of being a Crush Gear Fighting Champion doesn't want to see the club become extinct and will do whatever he can to keep the club running and become a Cush Gear Champion.





StudioSunrise

Source

DemographicShounen",Shounen,Finished,68.0,25.0,5.9K
681,Ninkuu,Studio Pierrot,Shounen,Adventure,Manga,7.04,1995.0,"In the war, a group of warriors called Ninku fought against the Imperial Army and almost annihilated it. But in the end, the Ninku lost and got shattered. After the war, the imperial army established themselves as the defender of the people with the help of propaganda. They also managed to get the people to think the Ninku were the villains and had started the war. Fusuke looks like a child but he is the former captain of the first Ninku division. His mother was taken during the war and after the Ninku were defeated, he goes on a journey to find her. On his journey he meets Aicho and Touji, both also former Ninku captains, and together they fight against the imperial army that tries to kill the last remaining Ninkus.

The ninku is a clan of extinct ninjas who command esoteric and powerful techniques, hence a lot of other groups are constantly trying to steal their techniques to take over the country. Their primary target is Fusuke, a weird looking kid but one of the most powerful Ninku ninja. Fusuke, together with other Ninku ninja with different specialties must fight those threat that caused the downfall of the Ninku clan.

(Source: ANN)





StudioStudio Pierrot

SourceManga

DemographicShounen",Shounen,Finished,55.0,24.0,5.8K
682,Cyborg 009 (TV),Toei Animation,Mecha,"Action, Adventure, Sci-Fi",Manga,6.87,1968.0,"They fight against evil, they help those in need, they're the Cyborg fighters! Together with the scientist Dr. Gilmore, this team of nine cyborgs use their special body modifications to fight against a seemingly endless barrage of enemies, including robotic crabs, aliens, and fellow cyborgs.

Each cyborg has his own special power, which they use in their fight against evil. Titular character 009 (aka Hurricane Joe, the famous race car driver) leads the team with his superhuman strength, resistance to bullets, and ability to accelerate through time. His teammates fight by his side to save humanity from falling into evil hands.

The team in Cyborg 009 faces many enemies and stops countless threats to their hometown, and even to Earth. No matter what, justice will be served.






StudioToei Animation

SourceManga

ThemeMecha
DemographicShounen",Shounen,Finished,26.0,24.0,5.8K
683,Rockman.EXE Beast+,Xebec,"Mecha, Strategy Game","Action, Adventure, Sci-Fi",Game,6.83,2006.0,"Beast+ continues from where Beast left off, though it is marketed as a stand-alone series. Episodes are reduced to approximately ten minutes in length, airing in the thirty minute time-slot Oha Coliseum alongside the Saru Getchu anime. Beast+ consists of a string of arcs beginning with the appearance of the Professor and Zero (both from Mega Man Network Transmission). 

(Source: Wikipedia)





StudioXebec

SourceGame

ThemesMechaStrategy Game
DemographicShounen",Shounen,Finished,26.0,10.0,5.8K
684,Onmyou Taisenki,Sunrise,Shounen,"Adventure, Fantasy, Supernatural",Manga,7.15,2004.0,"All his life, Riku Tachibana has been raised by his grandfather. For some reason, the old man has always been fond of strange hand gestures, and they've rubbed off on Riku, who performs them almost subconsciously, to his classmates' great amusement. One day, however, it suddenly becomes clear to Riku what his grandfather has been surreptitiously teaching him. And the teachings could mean the difference between life and death for Riku. 

(Source: ANN)





StudioSunrise

SourceManga

DemographicShounen",Shounen,Finished,52.0,23.0,5.7K
685,Juusenki L-Gaim,Sunrise,"Mecha, Space","Action, Adventure, Drama, Sci-Fi",Original,6.73,1984.0,"In the year 3990, the immortal Oldna Poseidal rules Pentagona, a war-torn solar system of five planets. Daba Myroad is a survivor of the Yaman Clan, just one of numerous native societies nearly wiped out by the tyrant. Living on the remote planet Koam with his friend Mirao Kyao, Daba possesses L-Gaim, a humanoid mecha known commonly as a ""Heavy Metal"" and the last known relic of the Yaman Clan. The pair befriend Fanneria Amu, an aspiring actress, and Lilith Fau, the last surviving fairy in Pentagona while on the run from a band of thieves attempting to steal L-Gaim.

Daba promises to fulfill the dying wish of one of the thieves hunting him—an honorable act that leads him to the powerful merchant Amandara Kamandara. With their mission in sight, the ragtag group will face powerful adversaries and become entangled in a rebellion against Poseidal's reign.

[Written by MAL Rewrite]





StudioSunrise

SourceOriginal

ThemesMechaSpace
DemographicShounen",Shounen,Finished,54.0,24.0,5.6K
686,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,ufotable,Parody,"Action, Adventure, Comedy, Sci-Fi",Light novel,6.81,2003.0,"The Galaxy Federation Police (GFP) desperately wants to cover-up its personnel shortage with new mechanized power-suits. Suzuo, 19-years old, desperately needs a job. Tampopo needs an earthling to fit the prototype of her company's suit and declares Suzuo the perfect candidate! Strong competitors and the wacky A-class criminals fight against our hero in diapers, but they must not recognize each other out of costume or the test results will be a failure- but it's OK if they all live in the same apartment building to save money, right? 

(Source: Sentai Filmworks)





Studioufotable

SourceLight novel

ThemeParody
DemographicShounen",Shounen,Finished,12.0,24.0,5.5K
687,Dragon Quest: Yuusha Abel Densetsu,Studio Comet,Shounen,"Action, Adventure, Fantasy",Game,6.83,1989.0,"Dragon Quest is loosely based on Dragon Quest III. The names and some of the characters are familar, but the world map is smaller and a very different shape. The two main characters are Abel and Tialah. Tialah receives the legendary Red Stone from the Aliahan Village sage Master Yogi. Soon after, Tialah is kidnapped by the evil Baramos who wants to use the Red Stone to resurrect The Great Dragon and be granted eternal life. Abel swore to rescue Tialah and he is given the Blue Stone, which can only seal the Dragon once it has been released. 

(Source: AniDB)





StudiosStudio CometStudio Pierrot

SourceGame

DemographicShounen",Shounen,Finished,43.0,24.0,5.5K
688,Transformers Galaxy Force,Gonzo,Mecha,"Adventure, Sci-Fi",Other,6.65,2005.0,"Forced to abandon their home planet of Cybertron due to the threat of the Blackhole, Optimus Prime prepares to lead his autobot warriors to Earth. Just as they are leaving they are confronted by Vector Prime who warns Optimus Prime of the threat to the galaxy if the four Cyber Planet Keys are not gathered in time. However, Megatron has plans of his own for the universe. As they embark on the search, they land on new planets which are inhabited by different Transformer races as well as the Convoys who lead these planets.





StudioGonzo

SourceOther

ThemeMecha
DemographicShounen",Shounen,Finished,52.0,24.0,5.5K
689,Eat-Man '98,Studio Deen,Super Power,"Action, Adventure, Sci-Fi",Manga,6.69,1998.0,"The continuing adventures of Bolt Crank, the World's Greatest Mercenary, who has the ability to eat any object, mostly metal and weapons. When the time comes, Bolt can then reproduce those weapons and items in his right hand.

(Source: ANN)





StudioStudio Deen

SourceManga

ThemeSuper Power
DemographicShounen",Shounen,Finished,12.0,23.0,5.3K
690,Yatogame-chan Kansatsu Nikki Yonsatsume,Creators in Pack,School,"Comedy, Slice, of, Life",4-koma manga,6.5,2022.0,"Fourth season of Yatogame-chan Kansatsu Nikki.





StudiosCreators in PackHayabusa Film

Source4-koma manga

ThemeSchool
DemographicShounen",Shounen,Airing,,3.0,5.3K
691,Toushou Daimos,Sunrise,Mecha,"Adventure, Drama, Romance, Sci-Fi",,7.21,1978.0,"The third of Tadao Nagahama's Romance Super Robot Trilogy. (#1: Chou Denji Robo Combattler V, #2: Chou Denji Machine Voltes V)

After the destruction of their home world, the survivors of the planet Barm head toward Earth with the goal of negotiating the purchase of land to emigrate to. Unfortunately, during the negotiations, the Barmian's leader, Leon, is assassinated by his second in command, Olban, and the delegation from Earth is framed for the murder. In the ensuing chaos, Doctor Isamu Ryuuzaki of the Earth delegation is shot and killed.

Shortly after the disastrous end of the talks, the Barmians (called ""Valerians"" in Starbirds) begin a campaign of terror against Earth, lead by Leon's son, Admiral Richter, who deploys a variety of ""Mecha Soldiers"" against the planet's defenses. The only thing standing between the Earthlings and annihilation is the transforming, karate-using super robot, Daimos, and its pilot, Kazuya Ryuuzaki. But that changes when he meets and falls in love with a mysterious girl named Erika, who turns out to be Richter's sister. Over the course of their struggles to reunite, Kazuya and Erika each learn that the other's people are not all evil... and that their own people are not all good.

(Source: AniDB)





StudiosSunriseToei Animation

Source

ThemeMecha
DemographicShounen",Shounen,Finished,44.0,24.0,5.2K
692,Chousoku Henkei Gyrozetter,A-1 Pictures,"Mecha, Racing",Action,Game,6.45,2012.0,"In 21st century Japan, cars with artificial intelligence for increased safety, known as ""A.I. cars,"" have revolutionized the car industry. Special schools teaching children driving A.I. cars have been established. One day, Kakeru Todoroki, a fifth grader of Arcadia Academy, was summoned by the school principal and given an A.I. car ""to save the humanity by chosen drivers like you."" The car, however, is not just a car but also a transforming robot known as ""Gyrozetter."" 

(Source: ANN) 





StudioA-1 Pictures

SourceGame

ThemesMechaRacing
DemographicShounen",Shounen,Finished,51.0,25.0,5.1K
693,Trouble Chocolate,AIC,Shounen,"Comedy, Romance, Sci-Fi",Radio,6.5,1999.0,"Cacao, a student at Micro Grand Academy, wakes up one morning to find a girl made of wood sleeping in bed with him. She is Hinano, a tree spirit who possessed the body of a wooden puppet after Cacao messed up his magic teacher's spell. Having taken an instant liking to Cacao, Hinano enrolls in his school. Between Hinano, monsters, two strange twins and their four-eyed cat master, a demon boy, odd teachers and students, and the fact that he may have the potential to be one of the greatest magic users of all time, Cacao's life seems to have taken several turns for the worse...and the weird. 

(Source: ANN)





StudioAIC

SourceRadio

DemographicShounen",Shounen,Finished,20.0,25.0,5.1K
694,Great Mazinger,Toei Animation,Mecha,"Action, Sci-Fi",Manga,7.07,1974.0,"A manga comic book and anime television series by manga artist Go Nagai, made as a direct continuation of the successful Mazinger Z series. It was aired on Japan in 1974, immediately following the end of the first Mazinger series.





StudioToei Animation

SourceManga

ThemeMecha
DemographicShounen",Shounen,Finished,56.0,25.0,5.0K
695,Chousoku Spinner,Xebec,Shounen,Sports,Manga,6.58,1998.0,"Despite being talented in various sports, Shunichi Domoto is not passionate about any of them in particular—that is, until he discovers the world of competitive yo-yo.

It all begins when Shunichi's friend, Beso Kimura, loses his yo-yo in a duel against the school bully, Benkei Musashimaru. Albeit inexperienced, Shunichi eventually agrees to help Beso retrieve his yo-yo. After practicing for three days, Shunichi challenges and unexpectedly defeats the relatively skilled Benkei. 

Shunichi's win instills the belief that the yo-yo is easy to master, and that he is ultimately able to easily master anything he puts his mind to. However, after losing to the exceptionally gifted yo-yo player Seito Hojoin, Shinichi finds his ego shattered. As the humiliating loss ignites a spark in Shunichi, he decides to surpass Seito in Japan's national Yo-yo Championship!

[Written by MAL Rewrite]





StudioXebec

SourceManga

DemographicShounen",Shounen,Finished,22.0,23.0,5.0K
696,Cardfight!! Vanguard: Zoku Koukousei-hen,OLM,Strategy Game,Action,Original,6.32,2019.0,"Upon the conclusion of the Vanguard High School Koshien, Kouji Ibuki begins to have new nightmares. Nome Tatsunagi has Suiko summon him to the mansion where they learn he can see a Dark Tower called Sanctuary. Sanctuary is causing the timeline to be altered throughout history, and the only way to correct it is for Kouji to first correct his future mistake. Now Kouji and Suiko must travel the parallel world -if- and watch as Magical Girls Emi Sendou and Shuka summon Vanguard units to help correct history. Sadly the two can't help much as Cardfighting against real monsters doesn't do much good.

(Source: ANN)





StudioOLM

SourceOriginal

ThemeStrategy Game
DemographicShounen",Shounen,Finished,14.0,23.0,4.9K
697,Dash! Kappei,Tama Production,Shounen,"Comedy, Sports, Ecchi",,7.16,1981.0,"Kappei is a dramatically short guy but he is a master in every sport. He lives as a guest in sweet Akane's house, and he's in love with her, but there's a strange rival, her dog Salomone (Italian name) who plans evil traps to encumber Kappei. But the dog has also another function: he explains all sport rules when a new sport is depicted. Kappei is fond of white female underwear, always trying to lift girl's skirts up.

(Source: ANN)





StudiosTama ProductionTatsunoko Production

Source

DemographicShounen",Shounen,Finished,65.0,25.0,4.9K
698,Meitantei Conan: Zero no Tea Time,Unknown,Detective,"Slice, of, Life",Manga,7.17,2022.0,"Anime adaptation of the spin-off manga Meitantei Conan: Zero no Tea Time that focuses on the life of the triple agent as he attempts to keep all his different roles in check.





StudioUnknown

SourceManga

ThemeDetective
DemographicShounen",Shounen,Airing,,15.0,4.8K
699,Dragon Collection,OLM,Shounen,Fantasy,Card game,6.2,2014.0,"Through an unexpected turn of events, an ordinary elementary school student, Hiro Enryuu, finds himself in the world of the ""Dragon Collection"" game. This is a world called Dragon Earth, where gods, humans, and monsters exist side by side. Those who roam this world using a magic book, called a Grimoire, and cards to summon monsters and search for treasures that bear the powers of dragons are called Dracolle Battlers. Despite his bewilderment, Hiro becomes a Dracolle Battler and, together with the friends he meets there, begins his adventure to become a legendary Dragon Master!

(Source: Crunchyroll)





StudioOLM

SourceCard game

DemographicShounen",Shounen,Finished,51.0,11.0,4.8K
700,King of Prism: Shiny Seven Stars,Tatsunoko Production,"Idols (Male), Music",Sports,Original,6.44,2019.0,"TV version of the King of Prism -Shiny Seven Stars- movies.





StudioTatsunoko Production

SourceOriginal

ThemesIdols (Male)Music
DemographicShounen",Shounen,Finished,12.0,24.0,4.7K
701,Shin Chuuka Ichiban! 2nd Season,Nihon Ad Systems,Shounen,"Comedy, Gourmet",Manga,6.64,2021.0,"Sequel of Shin Chuuka Ichiban.





StudiosNihon Ad SystemsProduction I.G

SourceManga

DemographicShounen",Shounen,Finished,12.0,24.0,4.6K
702,Sentou Mecha Xabungle,Sunrise,"Mecha, Military",Sci-Fi,Original,7.18,1982.0,"On the planet Zora exist two societies: the Innocent, an advanced culture that lives in domed cities, and the Civilians, who are forced to live in the harsh desert wilderness. As dictated by the Innocent, any Civilian that commits a crime is forgiven if they are not brought to justice within three days.
 
Civilian Jiron Amos seeks revenge on the villainous outlaw Timp Sharon who murdered his parents, despite the fact the three-day period has long since passed. Hoping to get his revenge by stealing the mecha Xabungle from the merchant Carrying Cargo, Jiron teams up with a group of bandits known as the Sandrats and kidnaps Cargo's daughter Elchi, who ends up being sympathetic to his cause. Jiron's quest for revenge soon grows into a conflict much bigger—one that will eventually see the Civilians rise up against the Innocents' rule.
 
[Written by MAL Rewrite]





StudioSunrise

SourceOriginal

ThemesMechaMilitary
DemographicShounen",Shounen,Finished,50.0,24.0,4.6K
703,Taiyou no Kiba Dagram,Sunrise,"Mecha, Military","Drama, Sci-Fi",Original,7.36,1981.0,"The story is centered around a small group of guerilla freedom fighters on a colonial planet named Deployer, who are known as the ""Deployer 7"", or ""Sun Fang"" team. In an unexpected coup, the elected Governor of Deployer becomes dictator and rules Deployer under martial law with the support of Earth's Federation. Fighting for independence from Earth's Federation influence, the freedom fighters begin a rebellion against the Federation's Combat Armors using a Combat Armor of their own: the Dougram. 

(Source: AniDB)





StudioSunrise

SourceOriginal

ThemesMechaMilitary
DemographicShounen",Shounen,Finished,75.0,23.0,4.6K
704,Kakutou Ryouri Densetsu Bistro Recipe,Group TAC,Strategy Game,"Adventure, Comedy, Fantasy, Gourmet",Manga,6.03,2001.0,"An 11-year old boy named Zen bands together with his younger sister, Karen, and a young boy who has a large appetite, Pitan, to battle an evil empire by using their ""Foodons""; strange monsters that are created from various foods.

(Source: ANN)





StudioGroup TAC

SourceManga

ThemeStrategy Game
DemographicShounen",Shounen,Finished,26.0,25.0,4.5K
705,Transformers: Car Robots,Gallop,Mecha,"Adventure, Comedy, Sci-Fi",,6.55,2000.0,"The evil Gigatron has led his forces of Destrongers to Earth, where they seek to pillage the planet for its vast energy resources in order to fuel their war against the Autobots. If successful, the Destrongers will finally be able to tip the scale of power in the war to their favor, eliminating the Autobots and moving on to conquer the universe. To this end, the Destrongers kidnap the scientist Dr. Ohnishi, Earth's leading scientist on energy and natural resources.

Dr. Oonishi's son, Koji, is contacted by none other than Fire Convoy, who takes the boy on a mission to rescue his father. Although Fire Convoy and the other Autobots fight valiantly, they are unable to rescue the doctor from the Destrongers. Now it is up to the Autobots and Koji to rescue Dr. Oonishi and protect the Earth and its resources from Gigatron and his army.





StudioGallop

Source

ThemeMecha
DemographicShounen",Shounen,Finished,39.0,23.0,4.5K
706,Tetsujin 28-gou (2004),Palm Studio,"Historical, Mecha","Adventure, Drama, Sci-Fi",,7.33,2004.0,"In post-WWII Japan, Prof. Shikishima has built up Shikishima Industries to be a technological powerhouse, working on developing robots. However, at the heart of their success lurks a dark secret from the war, something that cost the life of Prof. Kaneda, the mentor of Prof. Shikishima. Now Kaneda's son, Shoutarou, is about to learn the truth, and it will change him forever. 

(Source: ANN)





StudioPalm Studio

Source

ThemesHistoricalMecha
DemographicShounen",Shounen,Finished,26.0,25.0,4.5K
707,Getter Robo Arc,Bee Media,Mecha,"Action, Sci-Fi",Manga,6.09,2021.0,"Getter Robo Arc is the fifth Getter Robo series chronologically.

Taking place several years after Getter Robo Go, Earth is now a post-apocalyptic world. Hayato, now an aging scientist, has completed Professor Saotome's masterpiece, Getter Robo Arc. Piloting it are Ryoma's son Takuma, the human-dinosaur Kamui, and the younger brother of Tayel, Baku. Alongside the reformed Dinosaur Empire, they fight the insectoid Andromeda Flow Country attacking from across time and space.

(Source: MAL News)





StudiosBee MediaStudio A-CAT

SourceManga

ThemeMecha
DemographicShounen",Shounen,Finished,13.0,24.0,4.5K
708,D.I.C.E.,Xebec,Mecha,"Action, Adventure, Sci-Fi",,6.33,2005.0,"DICE (DNA Integrated Cybernetic Enterprises) is a large organization established to deal with problems in the Sarbylion galaxy. DICE F-99 is the only unit comprised entirely of children.

When a problem arises, DICE is called to the rescue. And when their special training and skills aren`t enough, they rely on their Dinobreakers, which can transform from Vehicle Mode to Dino Mode, to help get the job done!

Always on call, always on alert - DICE is ready for action! 

(Source: AniDB)





StudioXebec

Source

ThemeMecha
DemographicsKidsShounen",Shounen,Finished,40.0,25.0,4.5K
709,Mini Hama: Minimum Hamatora,Lerche,"School, Super Power","Comedy, Mystery",Original,6.28,2015.0,"Super deformed Hamatora.





StudioLerche

SourceOriginal

ThemesSchoolSuper Power
DemographicShounen",Shounen,Finished,8.0,5.0,4.4K
710,Mister Ajikko,Sunrise,Shounen,"Comedy, Gourmet",Manga,7.07,1987.0,"Ajiyoshi Yoichi is a culinary prodigy who manages the eating house together with his mother. One day, Murata Genjiro appears in the eating house and is surprised at the delicious taste and delicate culinary skills of the katsu-don prepared by Youichi. Subsequently, Youichi is being invited to the Aji-oh Building in which he is involved in a spaghetti match with the in-house Italian chef, Marui. Youichi's novel culinary ideas, coupled with his enthusiasm of serving the best for his guests, allow him to defeat Marui in the match. From then on, Youichi begins to compete with other rivals in the race for the best tastes and dishes. 

(Source: ANN) 





StudioSunrise

SourceManga

DemographicShounen",Shounen,Finished,99.0,24.0,4.2K
711,Captain Future,Toei Animation,Shounen,"Action, Adventure, Sci-Fi",Novel,7.08,1978.0,"Curtis Newton, aka Captain Future, is an orphan. His parents died in their artificial satellite while he was an infant. His father was a scientist, who has abandoned earth for the satellite to dedicate his life for science along with his aging friend the genius Dr Simon Wright. Wright senses his death, and decides to implant his brain in a mechanical container. They both manufactured a superior robot and an android. Captain future dedicated his life to fight evil along with his three men, the brain, android, and robot. 

(Source: ANN)





StudioToei Animation

SourceNovel

DemographicShounen",Shounen,Finished,52.0,23.0,4.2K
712,Muteki Choujin Zanbot 3,Sunrise,Mecha,"Action, Drama, Sci-Fi",Original,6.93,1977.0,"There once existed a planet named Beal, until it was wiped out by the mysterious entity known as Gaizok. The few remaining survivors escaped to Earth and split into three families, named Jin, Kamie, and Kamikita respectively. While attempting to start a new life, the collectively known ""Jin Family"" prepared for the inevitable Gaizok invasion on Earth and its giant mechanical beasts known as ""Mecha Boosts"". In order to defend their new home, they have built three vehicles which when combined form the mighty Zambot 3. The Jin Family must not only defend against Gaizok attacks, but also harsh criticisms from the very people they protect, who blame the Jin Family for the invasion in the first place.

(Source: AniDB)





StudioSunrise

SourceOriginal

ThemeMecha
DemographicShounen",Shounen,Finished,23.0,24.0,4.2K
713,Tenkai Knights,Bones,"Mecha, Super Power","Action, Adventure, Comedy, Sci-Fi",Original,6.38,2014.0,"Eons ago, a cube–like peaceful planet named Quarton, populated by shape–shifting living bricks called Tenkai, was ravaged by a war between two opposite factions: the Corekai and the Corrupted led by the ruthless warlord Vilius who desired to obtain the source of Tenkai Energy for his own purposes. However, the only ones who were strong enough to defeat him were the Tenkai Knights: Bravenwolf, Tributon, Valorn and Lydendor. Facing defeat, Vilius unleashed the mighty Tenkai Dragon, who was later defeated by the four Knights and its fragments were scattered across the planet. These heroes were never seen again, but the Corrupted have returned more powerful than ever.

Now on planet Earth in the year 2034, four teenage humans named Guren, Ceylan, Toxsa, and Chooki find an interdimensional portal to Quarton where they are chosen by the Guardians to become the new generation of Tenkai Knights and prevent Vilius to take control of both worlds.

(Source: Wikipedia)





StudioBones

SourceOriginal

ThemesMechaSuper Power
DemographicsKidsShounen",Shounen,Finished,52.0,24.0,4.2K
714,Ring ni Kakero 1,Toei Animation,Combat Sports,"Action, Sports",Manga,6.4,2004.0,"In order to fulfill their dead father's wish, the siblings, Takane Kiku and Takane Ryuji aims for the champopn title of the boxing arena. The sister, Kiku, will act as the trainer while her brother, Ryuji, will concentrate on the role of the boxer and learn the Boomerang. His battle with many rivals has led to the growth and maturity of Ryuji. The junior high boxing tournament has began and Ryuji will be fighting with his arch-rival, Kenzaki Jun. The battle begins.

(Source: ANN)





StudioToei Animation

SourceManga

ThemeCombat Sports
DemographicShounen",Shounen,Finished,12.0,25.0,4.1K
715,Ninja Senshi Tobikage,Studio Pierrot,"Mecha, Space","Adventure, Sci-Fi",Original,6.97,1985.0,"Ninja Senshi Tobikage tells the story of a boy named Joe Maya. One day, Joe, who lives on Mars, witnesses a battle between aliens. Those from Planet Zaboom are attacking the princess of Planet Radorio, she has escaped from the emperor of Zaboom who is scheming to conquer the universe and has crash landed on mars. 

Joe stumbles aboard the princesses ship, this starts a chain reaction of events that will alter their lives. Joe and his friends wield three powerful mecha beasts against the emperor of Zaboom and his forces, but the odds are stacked heavily against them. When all hope seems to be lost a mysterious ninja robot named Tobikage appears as if from nowhere to provide assitance, able to combine with the 3 mechanical beasts provides Tobikage with unmatched power, with his aide Joe fights the forces of Zaboom... 

(Source: ANN)





StudioStudio Pierrot

SourceOriginal

ThemesMechaSpace
DemographicShounen",Shounen,Finished,43.0,24.0,4.1K
716,Baku Tech! Bakugan,Unknown,Strategy Game,Action,,5.92,2012.0,"Bakugan is the card game for a new generation. In ""Baku TECH"" passionate warriors fight each other and risk their life for Bakugan.





StudioUnknown

Source

ThemeStrategy Game
DemographicShounen",Shounen,Finished,51.0,5.0,4.1K
